Domain,difficulty_level,question,Option A,Option B,Option C,Option D,correct_answer,Badge
Machine learning,Beginner,What is Machine Learning?,A subset of AI that learns from data,A type of hardware technology,A programming language,A type of database,A subset of AI that learns from data,Bronze
Machine learning,Beginner,Which of the following is a type of supervised learning?,Clustering,Classification,Reinforcement Learning,Dimensionality Reduction,Classification,Bronze
Machine learning,Beginner,What is the purpose of a training dataset in ML?,To train the model,To test the model,To deploy the model,To delete unwanted data,To train the model,Bronze
Machine learning,Beginner,Which algorithm is used for classification?,Linear Regression,Decision Trees,K-Means,Apriori,Decision Trees,Bronze
Machine learning,Beginner,What does overfitting mean in ML?,Model performs well on training but poorly on new data,Model performs well on all data,Model does not learn,Model learns too slowly,Model performs well on training but poorly on new data,Bronze
Machine learning,Beginner,Which evaluation metric is commonly used for classification models?,Mean Squared Error,Accuracy,Silhouette Score,R-Squared,Accuracy,Bronze
Machine learning,Beginner,Which library is commonly used for ML in Python?,NumPy,Matplotlib,Scikit-learn,Pandas,Scikit-learn,Bronze
Machine learning,Beginner,What is the main goal of unsupervised learning?,To find patterns in data,To predict labels,To increase accuracy,To minimize errors,To find patterns in data,Bronze
Machine learning,Beginner,Which ML model is best for predicting continuous values?,Decision Tree,Naïve Bayes,Linear Regression,K-Means,Linear Regression,Bronze
Machine learning,Beginner,What is the role of a loss function in ML?,To measure prediction error,To increase accuracy,To store data,To preprocess data,To measure prediction error,Bronze
Machine learning,Intermediate,Which technique is used to handle imbalanced datasets?,Random Sampling,Feature Engineering,SMOTE,Gradient Boosting,SMOTE,Silver
Machine learning,Intermediate,What is the main advantage of using ensemble learning?,Reduces overfitting,Increases model complexity,Requires less data,Eliminates need for validation,Reduces overfitting,Silver
Machine learning,Intermediate,Which activation function is commonly used in deep learning?,Sigmoid,ReLU,Linear,Softmax,ReLU,Silver
Machine learning,Intermediate,What is the main purpose of regularization in ML?,Reduce model complexity,Increase training accuracy,Improve test accuracy,Reduce dataset size,Reduce model complexity,Silver
